3cwb_F	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_b_5_h_2_n_5_b_0_-_3_b_5_m	0.576
1f94_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F	_0_E_2_F_6_F_0_-_5_E_5_A_3_E	0.546
5ail_A	_0_G_4_F_0_-_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_C_2_F_2_b_4_F_7_i_1_k_3_D_7_E_0_-_6_m_4_C_11_m_5_F_0_-_0_-_0_-_0_-_4_n	0.359
5hpl_A	_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_0_-_4_b_6_g	_2_H_1_k_5_b_0_F_0_-_0_-_7_l_0_-_2_b_2_B_7_B_0_-_3_b_0_-_3_m_0_-_10_f_6_e_2_j_11_E_2_E_4_b_7_i	0.499
6tmf_B	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c	_16_C_5_B_1_m_0_-_5_C_0_-_3_k_3_A_0_-_21_A_8_i_3_D_10_C_0_-_0_-_5_n_5_b_4_c	0.399
4b6d_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_D_0_-_0_-_4_A_0_-_6_A_4_D_5_A_0_-_1_e	0.365
6x3m_F	_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_B_1_d_11_B_0_-_5_A_7_b_0_-_0_-_36_b_0_-_0_-_12_k_3_b_3_g	0.419
5dbu_E	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_0_-_5_B_0_-_6_A	_0_D_6_k_4_C_1_j_5_E_8_k_0_-_4_D_2_e_2_l_3_D_2_b_2_k_4_B_11_j_4_D_5_i_3_C	0.363
1cvj_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_0_-_5_b_0_B_0_-_5_B_6_A_9_b_2_d	_0_D_0_-_7_j_2_G_6_H_2_g_0_-_6_A_2_A_1_C_5_c_4_D_7_h_4_E_10_D_0_-_2_f	0.359
3jv6_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_C_3_B_5_E_0_-_7_E_7_B_4_b_0_-_0_A_0_-_3_D_12_H_5_A	0.352
4emb_C	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_0_-_6_g	_0_E_21_l_0_-_6_C_0_-_3_k_6_C_1_b_0_-_0_-_0_-_5_b_4_g_1_h_15_b_1_b_4_b_6_j_5_d_4_D_1_j_3_e	0.381
1uwy_A	_0_G_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b_0_-_6_g	_4_G_5_F_12_E_7_l_4_h_1_D_0_-_4_e_36_j_2_B_0_-_2_B_2_E_0_-_6_b_0_-_0_-_1_b_0_-_0_-_7_k_20_B_10_f_7_D_6_h	0.444
2f8e_X	_4_F_0_-_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_3_F_8_j_2_b_4_f_3_K_9_m_11_D_2_E_9_d_0_-_5_B_3_b_11_A_2_D_6_C_0_-_2_h_0_B_3_l_0_-_1_f_1_b_8_j_0_-_1_f	0.434
7dhf_D	_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_E_5_j_0_-_4_E_14_h_14_c_0_-_4_C_4_g_1_e_0_B_0_-_0_-_2_b_0_-_12_o	0.374
1wem_A	_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c	_0_B_6_B_0_-_0_c_3_e_0_-_0_-_10_e	0.430
2n7a_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B	_2_D_4_B_1_C_0_-_11_F_11_A_14_B_3_b_0_-_4_B_4_b_1_H_2_C_11_E	0.369
5h1s_Q	_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b	_0_l_7_F_2_G_4_F_0_-_17_l_8_B_8_j	0.573
1kll_A	_0_G_0_-_4_F_0_-_2_H_0_-_0_-_0_l_11_G_5_F	_0_E_17_b_2_D_1_b_1_E_0_f_13_D_3_k_3_G_4_F	0.417
1xyx_A	_5_B_0_-_6_A_9_b_2_d_8_n	_0_A_14_j_5_A_2_b_0_-_3_l	0.519
6q9v_B	_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b	_0_c_4_f_18_A_11_b_0_A_7_A_8_E_1_b_0_-_2_E_5_E_13_b	0.415
3wtc_A	_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_0_-_0_-_13_c_5_c_21_k_4_b	_0_D_4_j_3_E_2_k_0_-_4_D_0_-_5_l_0_-_0_-_4_C_0_-_0_-_9_b_2_g_5_l_4_D_2_b_7_p_2_F_5_k_5_e_11_j_2_b	0.386
3j8c_H	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_4_G_0_-_4_G_13_k_0_-_5_F_0_-_10_j_4_D_0_-_11_E_6_B_2_C_0_-_2_f	0.372
4a20_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_F_5_F_5_i_0_-_0_-_6_b_0_D_2_B_0_-_5_b	0.473
4u42_B	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_0_-_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c_21_k	_0_E_0_c_4_E_5_G_0_-_12_F_5_F_4_A_0_e_2_b_3_n_0_-_9_b_0_B_5_B_0_-_16_b_12_m_9_f_15_i_4_b_3_d_2_c_4_k	0.619
5a1u_H	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d	_0_E_3_E_7_h_1_b_8_C_0_-_2_G_2_F_0_-_5_n_0_-_4_e_1_j_0_A_0_-_2_A_0_-_4_f	0.398
6pyz_A	_9_b_2_d_8_n_3_b_0_-_13_c_0_-_5_c_21_k_4_b_6_g	_2_c_6_c_7_s_2_b_1_r_4_c_3_b_5_b_1_i_3_b_2_e	0.373
2axt_A	_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_0_h_12_n_0_-_17_b_0_-_0_-_0_-_22_b_3_e_2_r_6_c_1_g_5_d_10_l_1_b	0.440
6rkf_C	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_0_-_6_A_9_b_2_d_8_n_3_b_13_c_0_-_0_-_5_c_21_k	_1_I_15_D_2_c_7_I_1_l_0_-_3_B_5_c_0_-_5_C_2_f_6_J_6_B_6_B_5_C_3_A_0_-_0_-_8_k_0_-_1_c_2_P_6_H_4_b_2_m	0.408
3pmk_C	_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_0_-_0_-_0_-_13_c_0_-_5_c_21_k_4_b_0_-_6_g	_0_c_16_k_0_-_4_j_11_B_2_C_0_-_7_b_23_b_1_j_5_l_18_c_1_l_6_i_5_k_3_e_4_i_13_b_17_k_5_b_8_m_34_i	0.370
1viu_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_I_4_I_5_I_0_-_3_G_4_G_1_c_0_-_7_C_1_C_5_g_12_E_9_F_9_F_0_-_0_d_9_k	0.479
6df7_B	_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k	_11_b_11_c_6_h_6_n_0_-_4_n_0_-_1_k	0.469
1cyg_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_0_-_9_c_0_-_4_n_12_A_5_b_0_-_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_0_-_0_-_0_-_13_c_5_c_21_k_4_b	_10_C_3_B_18_F_6_k_3_E_3_C_13_B_2_C_20_d_6_C_4_l_5_C_2_b_3_k_3_C_10_h_3_B_0_-_0_-_1_g_9_k_3_b_1_A_17_j_3_D_2_b_8_b_10_l_1_d	0.357
1xpp_A	_0_G_4_F_2_H_0_l_11_G_5_F	_0_F_3_F_0_-_3_j_5_F_9_E	0.556
4bhm_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_0_A_5_C_4_G_0_-_2_J_2_J_0_-_1_n	0.412
1yb2_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_0_-_13_c	_0_B_5_C_4_B_0_-_15_C_2_E_5_c_8_C_7_f_5_C_3_e_3_b_6_C_13_C_0_-_4_b_1_d_5_E_2_i_1_b_2_E_14_c	0.402
1o8u_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_5_c_21_k	_6_E_2_E_7_A_1_l_5_D_8_A_1_b_5_n_4_D_8_c_3_D_0_-_3_A_5_b_7_h_0_-_1_i_3_A_0_f_4_B_1_m_2_j	0.427
1kqf_C	_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_B_0_-_3_q_4_d_4_s_4_g_1_d_3_c_7_p_6_b_2_t_3_e	0.352
2cvb_A	_0_B_5_B_6_A_9_b_0_-_2_d_8_n_0_-_3_b_13_c_0_-_5_c_21_k_0_-_0_-_4_b_6_g	_0_B_5_B_0_-_0_b_4_D_5_c_2_i_4_F_7_b_5_e_5_B_4_d_4_A_2_C_4_E_8_b_4_i	0.398
6atk_E	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B	_0_H_18_C_9_A_0_-_4_G_7_D_0_-_0_-_16_A_0_-_3_B_7_H_3_J_6_B	0.390
2d8k_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_G_0_-_6_H_0_-_12_G_5_B_13_D_4_c_0_-_3_G_0_-_7_H_9_D_2_A	0.428
1tad_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k	_8_e_8_F_2_F_4_c_0_-_0_-_2_c_5_F_0_-_0_-_0_-_0_d_10_k_2_b_3_F_1_f_5_b_10_k	0.369
4fhz_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_5_c_0_-_21_k	_0_D_7_E_6_d_0_-_0_-_2_f_3_E_3_A_7_A_0_-_4_c_3_q_3_b_0_E_1_j_6_D_6_f_6_E_8_j	0.376
3rf2_A	_4_F_0_-_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_4_D_2_k_2_E_2_l_7_h_7_E_14_B_0_-_0_-_8_A_8_b_2_E_2_C_0_-_0_-_0_e	0.438
5v5f_A	_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_D_5_G_7_k_3_J_6_I_3_E_6_i_0_-_5_C_3_j_6_B_0_-_0_-_0_h_2_d_0_-_2_h_4_g_1_b_2_p	0.367
1yhu_C	_8_n_3_b_13_c_5_c_0_-_21_k	_6_m_1_e_1_b_1_b_3_o_1_l	0.384
4cs9_C	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_6_b_6_b_2_n_0_-_8_h_1_h_7_j_4_h_5_l_3_i	0.436
1a06_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k_4_b_6_g	_1_E_3_d_0_E_5_G_2_f_9_E_3_E_7_e_6_n_0_-_9_b_0_B_8_B_0_-_0_-_8_c_7_l_9_h_15_i_4_b_3_e_14_j_0_-_11_g	0.584
3qyr_D	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_0_-_21_k	_0_E_2_E_2_b_5_l_5_E_26_D_0_-_0_-_2_B_1_g_2_D_3_B_0_-_0_-_2_c_0_-_7_h_1_i_3_A_0_f_5_A_1_l	0.366
3p2y_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_3_D_3_k_2_D_3_h_3_A_5_l_0_-_4_C_14_d_0_-_6_C_2_b_11_C_2_C_0_-_5_b_0_-_1_n	0.420
1q46_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_H_0_-_3_E_5_E_0_b_0_-_0_-_8_b_6_I_4_D_0_-_5_r_4_c_0_-_5_f_2_i_1_c_7_j	0.364
5gs5_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_2_E_15_E_18_F_0_-_2_I_0_-_3_h_7_n_0_-_3_b_2_E_0_-_0_-_1_b_0_-_6_m	0.388
2cof_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_2_H_4_C_7_E_5_B_9_E_2_F_0_-_3_k	0.409
1ohu_A	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b_6_g	_0_b_0_-_1_l_22_m_7_g_0_-_7_l_6_n_2_c_13_f	0.398
6uri_S	_0_G_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n	_0_G_4_E_0_-_5_l_9_C_2_G_2_F_0_-_5_n_0_-_6_c_1_j_0_A_0_-_2_A_0_-_0_-_4_k	0.467
1vm9_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_D_0_b_5_D_0_-_0_-_5_F_3_E_9_b_0_-_1_B_0_-_2_B_6_B_4_A	0.365
1e88_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_B_3_B_0_-_3_E_4_E_0_-_0_-_7_A_8_b_8_B_2_B_13_B_0_-_4_c	0.359
2i2q_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_5_G_4_e_7_H_6_H_6_l_0_-_7_D	0.599
4xhy_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_-_0_B_5_B	_7_F_2_F_0_-_0_-_3_C_4_C_8_e_0_-_2_E_5_e_27_K_2_K_8_B_2_B	0.359
1awd_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_E_2_E_6_f_17_E_2_A_8_d_0_-_2_B_0_b_1_A_3_C_0_-_0_-_3_d	0.450
1oh0_A	_0_G_0_-_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_G_7_A_0_k_5_C_4_A_4_J_0_-_4_J_5_F_0_-_0_-_0_-_2_b_0_B	0.365
3cy5_B	_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b	_2_l_0_-_1_e_0_-_0_-_0_-_1_b_5_d_2_n_0_-_4_c_1_c_11_o_2_m_1_c	0.437
4qk0_C	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_0_-_0_-_2_d_8_n_3_b	_5_F_2_C_2_A_6_G_0_-_3_G_8_C_0_-_0_-_2_A_3_b_0_A_2_G_3_E_3_C_6_b_2_E_2_D_1_c_0_-_3_b	0.433
1sn4_A	_4_F_2_H_0_l_11_G_5_F	_0_F_3_A_5_i_4_G_2_H	0.562
1twf_C	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_9_b_0_-_2_d_8_n_3_b	_0_A_2_B_0_-_3_k_3_J_5_h_3_B_2_b_16_H_6_C_0_b_0_B_8_C_10_D_4_J_5_b_2_G_16_c_0_-_4_b	0.393
1bo4_A	_0_G_4_F_2_H_0_l_11_G_5_F	_3_G_2_J_6_I_8_l_3_D_11_B	0.633
1php_A	_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_0_-_21_k_0_-_4_b_0_-_6_g	_6_D_6_A_2_A_3_l_0_-_3_D_11_b_2_j_4_A_6_g_6_B_0_-_0_-_3_b_1_d_2_g_4_C_2_b_0_-_9_c_3_B_1_l_5_D_4_j_5_C_3_g	0.409
2nrl_A	_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k	_0_e_3_c_2_l_0_-_1_c_10_b_4_n_4_j	0.513
4odi_B	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_0_-_13_c_0_-_5_c_0_-_21_k_4_b_0_-_0_-_6_g	_0_F_4_c_13_l_6_C_3_k_6_B_0_-_0_-_1_b_5_b_4_g_1_h_16_b_1_b_4_b_6_j_5_d_4_D_1_j_6_b_9_D_5_E_3_i	0.414
2h0u_A	_0_l_0_-_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_14_j_4_b_12_B_2_B_7_d_13_j_6_k_9_B_6_j_7_B_3_B_0_-_0_-_13_c	0.403
2e0g_A	_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_j_4_c_5_C_3_E_2_h_1_j_6_A_0_-_2_A	0.392
1lur_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_0_-_0_-_2_d	_0_C_5_D_0_-_0_-_4_G_5_B_7_e_0_-_7_A_5_A_0_b_1_B_2_B_7_B_6_b_3_E_2_H_0_c	0.454
6ooi_C	_0_G_0_-_4_F_0_-_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_5_c_21_k_4_b	_6_E_2_i_5_C_16_e_4_C_2_d_5_k_0_-_3_E_3_d_3_k_0_-_5_d_1_D_0_-_0_-_2_b_0_-_8_m_4_c_1_D_7_d_6_C_1_c_0_-_3_c	0.392
7lm9_A	_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_6_D_3_e_1_A_0_-_1_I_0_-_0_e_7_d_9_F_1_c_9_B_36_B_2_A_4_b	0.351
3rnr_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_E_2_E_7_m_4_m_11_D_4_E_0_-_0_-_4_E_0_-_2_C_37_A_4_A	0.382
1mjt_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_0_-_9_b_0_-_2_d_8_n_0_-_3_b_13_c_5_c	_1_D_5_n_4_D_6_A_16_k_13_C_6_B_3_b_0_-_2_B_6_e_2_B_3_A_2_D_2_B_4_A_4_a_6_a_7_f_7_b_1_n_7_l_9_c_5_b_1_c	0.394
2rer_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n	_3_G_5_F_9_H_0_b_1_E_5_K_2_J_0_-_7_s	0.420
1pt6_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k	_0_G_7_j_9_G_3_D_7_h_11_f_0_-_7_b_6_G_7_j_2_G_0_-_0_-_1_d_0_-_0_-_5_i_4_c_0_C_2_l	0.360
1uqw_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_0_-_21_k_0_-_4_b_0_-_6_g	_3_G_2_E_6_d_8_i_10_F_0_-_3_E_13_E_3_d_0_-_8_A_4_h_3_A_2_A_3_B_6_b_0_-_1_i_0_-_2_h_3_B_21_j_5_F_6_k_2_E_2_b_17_B_7_h	0.395
1yn4_A	_0_G_0_-_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_I_2_A_4_E_4_A_0_l_3_d_4_F_4_D_4_b_0_-_2_A_1_b_0_H	0.543
2jza_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_E_10_C_0_-_0_-_2_F_7_C_8_b_0_-_3_C_0_-_4_C_6_B_18_B	0.362
1lb6_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d	_0_F_2_h_4_C_3_A_0_-_6_G_10_H_0_-_0_-_0_-_4_b_7_E_11_E_0_-_5_b_11_G_0_d	0.367
2nm0_A	_0_G_0_-_4_F_2_H_0_l_0_-_0_-_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B	_0_D_4_j_3_E_9_C_5_k_5_D_14_q_2_E_8_q_4_G_6_d_10_j_0_-_1_b_6_C	0.360
3bqo_A	_2_d_8_n_3_b_13_c_5_c_0_-_21_k	_16_h_8_n_3_j_5_h_6_d_2_n_3_j	0.371
2okj_B	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_0_-_4_b_6_g	_3_E_5_g_4_b_0_C_0_-_9_k_3_F_12_j_2_E_2_e_4_c_0_-_2_b_2_C_11_D_0_-_0_-_4_e_0_-_15_b_0_-_1_c_9_u_5_B_10_D_2_b_6_f	0.383
2zt9_B	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_0_h_11_d_2_n_21_j_0_-_3_p_9_o_2_b	0.374
4bgq_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k_4_b_6_g	_0_H_4_F_5_E_4_j_8_F_2_F_3_A_0_f_6_n_2_A_5_b_0_B_5_B_6_A_0_-_9_c_7_l_9_j_4_h_1_b_13_d_5_i_4_b_3_d	0.683
1nol_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c	_12_I_3_G_5_J_10_f_1_I_2_G_0_b_0_-_3_A_5_d_12_A_0_-_0_-_0_b_9_J_0_c_0_-_0_-_9_c_25_c	0.451
2f3l_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_9_b_2_d	_0_B_0_-_0_-_17_B_0_-_17_B_17_B_1_A_16_A_17_g_13_c	0.397
4qq1_C	_0_G_0_-_4_F_2_H_0_-_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_4_I_9_J_3_G_15_H_5_F_0_-_5_G_9_B_1_E_0_-_0_-_6_B_0_-_8_B_4_B_7_C	0.367
2ew5_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_0_-_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_10_l_0_-_4_B_0_c_0_-_5_C_10_b_1_J_2_D_9_D_2_F_5_F_0_-_0_-_0_k_0_-_4_c_0_-_2_k	0.351
1cou_A	_12_A_5_b_0_B_5_B_6_A_9_b	_0_C_0_-_35_C_4_A_5_A_1_i	0.439
1od3_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F	_4_H_4_F_6_F_9_I_0_-_2_G_4_G	0.599
4m8r_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_0_-_6_A_0_-_9_b_2_d	_6_G_9_F_19_H_6_D_9_E_4_E_0_-_0_-_9_A_0_-_7_C_6_G_2_G_5_B_7_E_6_D_4_D_9_b_19_b	0.354
2ggp_B	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_0_E_10_f_5_E_5_E_5_i_0_-_5_C	0.426
1z2c_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_0_-_21_k	_0_H_5_h_12_I_2_I_3_b_0_-_0_-_3_b_6_F_0_-_0_-_0_-_3_e_5_f_5_E_1_b_3_g_8_i_4_C_8_k	0.366
3ost_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_1_F_4_E_0_-_10_H_5_F_0_-_4_m	0.461
4kd6_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b_6_g	_0_E_2_E_2_b_8_j_5_A_0_-_7_B_7_j_11_A_2_g_4_A_0_-_7_d_0_-_5_c_6_g_4_e_5_A_2_l_0_-_7_f	0.463
2kzn_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_0_-_9_b_2_d	_0_m_17_D_4_D_0_-_0_-_12_A_0_-_9_D_4_D_9_C_9_C_4_D_0_f_1_g	0.373
6nbk_C	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_0_-_5_F_0_-_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k_0_-_4_b_6_g	_0_F_10_i_2_g_2_F_0_-_9_n_3_E_4_i_5_E_16_b_1_d_5_c_0_-_10_b_0_E_4_i_2_C_0_-_0_-_0_f_1_j_5_F_0_b_0_-_0_-_18_k_2_F_3_b_4_k	0.354
2igb_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_5_I_3_H_8_H_3_k_4_H_11_D_0_-_0_-_7_D_1_c_3_D	0.483
4i5t_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_0_-_0_-_9_b_0_-_2_d_8_n_3_b_0_-_13_c_0_-_5_c_21_k_4_b	_0_l_8_E_6_E_1_c_0_-_0_-_8_b_0_B_8_D_9_D_11_k_6_F_11_E_7_e_24_C_4_b_2_l_16_D_3_F_14_d_1_C_2_h_2_i_9_b	0.372
