6ei0_N	_1_j_5_b_12_m_15_q_12_j	_0_q_4_b_1_o_6_q_4_p	0.500
1cvl_A	_0_k_0_-_10_j_0_-_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_0_-_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_14_l_4_E_2_j_1_b_0_F_7_i_9_j_8_f_2_b_1_i_17_C_2_I_2_B_6_B_8_c_2_k_0_-_11_c_0_-_3_F_5_b_0_-_0_-_13_k	0.425
2qff_A	_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_0_k_0_-_2_i_0_-_0_-_2_k_0_-_2_c_0_-_6_m	0.366
2kjx_A	_2_e_2_h_14_i_8_F_2_I_9_c	_2_e_1_b_0_-_4_F_4_E_2_c	0.500
2l6p_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_2_E_0_e_0_-_0_-_23_E_5_D_0_-_11_f_2_k	0.438
1ta3_A	_1_C_0_f_5_g_0_-_10_C_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_0_-_4_D_0_b_11_e_0_-_1_j_5_b	_0_D_3_b_2_e_5_I_6_A_6_k_4_F_9_l_18_E_8_h_0_-_0_-_0_-_12_E_0_-_7_f_0_-_6_D_11_A_0_j_4_F_10_b_5_c_5_F_1_f_1_d	0.361
2ji7_A	_0_k_0_-_10_j_8_B_0_m_0_-_8_k_0_-_2_e_2_h_14_i_8_F_0_-_2_I_9_c_0_-_7_l_5_o_0_-_3_c_2_c_1_C_0_f_0_-_5_g_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i	_0_j_4_C_6_h_3_C_3_l_3_D_2_m_3_F_2_d_10_c_1_b_2_C_3_l_5_F_0_c_2_B_0_f_14_j_5_C_1_d_3_j_3_B_16_i_2_D_5_e_2_b_5_E_2_b_8_C_2_j_0_-_8_o_10_k_4_D_0_-_2_h_0_-_8_B_9_j_3_E_0_-_0_d_2_h_4_F_26_f_0_-_3_D_2_k_3_F_8_e	0.386
1io2_A	_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k	_0_h_2_b_5_j_4_F_0_-_1_d_5_l_0_-_0_-_0_-_6_D_0_-_5_i_6_D_2_c_1_q_10_k_0_-_0_-_11_k	0.361
4geg_B	_0_k_0_-_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k	_7_k_5_E_1_i_6_F_8_m_4_g_3_b_4_j_4_i_0_-_0_-_2_b_0_-_0_-_4_d_0_-_5_E_3_f_0_-_5_D_6_c_1_k	0.395
2hye_C	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_0_-_1_D_0_-_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_10_k_9_k_3_c_1_o_2_k_1_c_8_j_5_d_0_-_0_-_2_d_4_k_3_o_2_b_3_m_6_l_0_-_5_k_3_b_0_-_5_j_5_m_6_j_0_-_8_q_31_l_11_b_1_D_8_D_0_h_6_A_0_f_4_h_9_B_11_C_10_A_1_d_0_-_0_-_0_-_3_s_0_-_2_B_1_i_6_k	0.400
5ybe_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j	_10_k_3_c_0_-_2_m_6_k_1_g_9_f_3_h_0_-_0_-_15_d_7_j_0_-_14_f_3_h_0_-_14_g_2_g_0_-_16_f_0_-_3_k	0.387
5nbg_B	_0_k_10_j_8_B_0_m_8_k_2_e_2_h	_0_l_4_j_0_-_3_l_0_-_4_e_7_k	0.505
3nxh_A	_10_j_8_B_0_m_8_k_2_e_0_-_2_h_0_-_14_i_8_F_2_I_9_c_7_l	_8_j_5_C_0_-_2_j_12_e_5_k_4_e_3_A_3_i_15_E_4_E_0_-_1_l	0.549
2jzv_A	_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C	_0_J_0_-_11_l_0_-_5_g_3_c_4_E_0_-_5_g_10_B	0.444
4wsu_B	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g	_0_E_2_E_0_-_0_-_1_o_0_-_16_z_0_B_5_B_5_h_4_h	0.378
1a0p_A	_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_0_k_5_n_9_h_4_m_16_h_6_l_0_-_3_c_4_b_0_A_4_D_5_D_2_k_1_d_18_k_4_b_2_l_4_b_8_m	0.488
2l3y_A	_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_0_o_5_c_6_b_0_-_0_-_0_-_0_-_27_l_3_r_9_f_9_p	0.376
4aay_E	_0_k_0_-_10_j_0_-_8_B_0_m_8_k_0_-_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_-_0_b_11_e_1_j_5_b_12_m_15_q_12_j_0_-_2_B_0_-_0_-_1_i_0_-_5_i_2_f	_3_f_9_D_5_i_1_b_0_C_6_l_4_f_23_B_1_g_3_g_3_j_10_D_0_-_1_c_4_k_0_-_0_-_0_-_10_B_13_b_6_e_5_D_3_c_3_n_0_-_0_-_0_-_6_k_4_E_5_c_0_-_2_E_6_C_4_D_10_A_0_n_2_d_9_d_5_a_3_b_0_-_0_-_2_i_1_A_4_B_2_B_19_B_10_f_2_E_11_b_1_e	0.365
2cpn_A	_14_i_8_F_2_I_9_c_7_l	_0_j_5_G_6_G_2_F_2_m	0.551
1kko_A	_2_c_0_-_0_-_0_-_1_C_0_f_0_-_5_g_10_C_0_-_2_k_2_n_2_j_5_o_0_-_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_1_d_4_A_2_A_12_K_4_E_16_f_5_c_8_h_1_A_2_A_0_-_2_n_3_g_21_c_7_C_14_m_0_-_8_D_3_d_3_i_1_c_0_-_4_C_7_d_2_i_4_B_7_h_6_A_1_c_0_-_0_-_3_k_3_A_7_k_10_h_2_g	0.414
1tiq_A	_0_m_8_k_2_e_2_h_14_i_8_F_2_I_0_-_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C	_0_n_0_-_9_e_2_h_0_-_2_G_2_I_0_b_7_H_1_b_4_l_0_-_0_-_0_-_4_B_2_A_0_-_3_g_7_C	0.401
2ald_A	_0_k_10_j_8_B_0_m_8_k_0_-_0_-_2_e_2_h_0_-_0_-_0_-_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_0_k_0_-_5_D_3_i_6_j_3_b_3_E_1_c_9_f_3_D_4_B_7_B_5_i_0_-_4_G_0_-_8_n_3_G_7_o_4_b_0_-_1_A_0_-_16_k_8_C_6_k_7_E_1_j_3_o	0.453
3o6o_B	_8_B_0_m_8_k_0_-_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_0_-_1_C_0_-_0_-_0_f_5_g_10_C	_0_C_0_-_2_j_8_p_1_c_0_-_0_-_7_E_4_E_6_a_5_m_0_-_4_f_2_f_1_H_6_D_4_E_6_G_1_f_1_k_4_B	0.402
1gcv_A	_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_0_l_1_l_1_e_10_n_1_f_0_-_0_-_1_d_9_m_5_m	0.495
1su1_A	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D	_6_k_3_C_0_-_18_h_2_b_0_B_7_e_8_D	0.483
5nsj_A	_8_F_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_4_D_6_G_11_A_3_d_0_-_0_-_9_h_2_b_6_C_2_b_0_-_4_C_3_l	0.383
2k9m_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i	_0_j_3_h_0_-_13_f_4_j_13_h_5_k_5_g	0.511
1hqs_A	_8_B_0_-_0_m_8_k_2_e_2_h_0_-_14_i_8_F_0_-_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_0_-_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_2_B_4_E_5_n_6_C_4_f_5_i_1_C_13_g_6_C_11_b_1_E_4_c_2_A_4_k_0_-_8_b_0_-_2_A_0_-_5_m_3_E_0_-_8_n_0_B_0_-_0_q_0_-_3_F_0_-_0_i_1_b_2_C_1_k_7_D_6_D_5_b_0_-_8_k_0_-_2_l_2_A_1_c_6_A_2_i	0.359
1rfj_A	_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_0_k_9_i_6_j_9_r_0_-_6_A_1_h_7_j_7_A_0_g	0.498
3ner_B	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_1_j_0_-_5_b	_0_A_1_d_2_A_0_-_2_E_2_C_1_b_8_c_7_f_3_i_0_D_1_b	0.488
4wgj_A	_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_c_0_-_18_n_10_j_14_A_5_A_0_-_0_-_17_l_1_b_4_m_0_-_6_l_1_B_6_k_3_i	0.459
4a0y_B	_14_i_8_F_2_I_9_c_0_-_7_l	_0_b_5_E_3_F_2_b_6_A_1_l	0.432
2r80_B	_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_0_k_2_l_1_i_5_e_1_n_4_c_0_-_1_c_11_o_2_m	0.462
5u6k_E	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i_0_-_5_i_2_f	_0_C_0_-_4_j_4_A_8_E_10_E_0_-_0_h_6_b_1_b_0_-_15_C_5_j_3_A_18_B_6_g_4_A_1_i_5_c	0.383
1j49_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_0_-_5_b_0_-_12_m	_4_j_5_C_0_-_9_c_0_-_0_-_0_-_0_-_4_C_0_-_7_g_5_C_9_f_2_B_6_l_2_h_13_b_0_-_1_D_3_j_3_D_5_e_6_f_0_-_2_C_13_e_4_D_3_b_0_-_2_i_2_E_21_g_3_B_8_n	0.392
4qiw_H	_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F_2_I	_0_B_0_-_3_i_4_b_3_A_3_e_0_-_6_G_3_J	0.390
2a9s_A	_0_k_0_-_10_j_0_-_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_0_m_3_D_5_e_5_b_1_E_0_-_0_-_3_g_3_f_4_k_5_F_14_G_4_F_0_-_5_o	0.377
6avj_A	_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_0_D_4_C_14_c_0_-_0_-_7_C_4_D_14_b_1_c	0.574
2mhs_A	_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g	_0_n_11_t_4_k_8_n_3_m_0_-_0_-_1_e_2_g	0.514
2z67_A	_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_0_-_1_C_0_f_0_-_5_g_0_-_10_C_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_0_-_12_j_2_B_1_i_0_-_5_i	_0_i_1_h_9_j_0_-_0_-_2_b_0_-_0_-_16_e_21_c_2_k_5_D_6_j_3_D_4_h_4_A_2_B_2_B_2_k_4_E_11_j_3_C_0_-_7_j_5_D_0_d_0_-_0_-_0_-_6_D_0_-_2_g_9_j_0_-_0_-_2_r_15_A_4_i_7_A_4_c_9_A_8_j	0.366
6kac_d	_2_h_0_-_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o	_0_h_10_b_1_l_25_A_0_-_22_c_4_r_5_k_0_-_6_c_0_-_9_A_1_h_10_q_10_b_0_-_12_j_7_r_8_h_6_n	0.370
5h00_D	_7_l_0_-_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_0_k_6_p_2_o_6_e_4_u_10_c_0_-_23_k_6_e_0_-_3_k_3_n_9_f_3_t	0.487
6ydr_A	_1_j_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i	_0_j_3_b_2_l_3_k_4_l_0_-_5_h_2_m_6_i	0.576
7rgn_A	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_0_-_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_0_-_5_b_0_-_12_m_15_q	_0_d_2_A_0_-_3_k_3_D_3_k_4_D_1_g_9_o_2_E_4_o_0_-_6_C_0_-_0_-_6_l_4_E_11_j_6_D_0_-_0_-_13_k_9_B_7_g_3_E_1_m_24_o	0.429
3pzt_B	_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_0_-_4_D_0_b_11_e_1_j	_9_D_2_f_2_e_8_F_0_-_9_m_2_F_10_l_5_C_0_-_15_k_5_B_2_c_2_d_8_G_5_j_4_F_11_k_4_E_21_b_0_-_2_j	0.448
2leo_A	_2_c_1_C_0_f_5_g_10_C	_0_c_15_B_4_A_2_i_6_C	0.597
5ded_A	_10_j_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_0_q_12_E_0_-_2_i_4_e_4_F_2_k_0_-_4_F_12_I_4_J_0_l_6_r	0.404
1rya_A	_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_0_-_0_-_2_c_1_C_0_f_5_g	_0_i_2_H_5_E_8_A_2_B_6_k_0_-_5_b_1_I_10_J_2_b_7_F_1_e_5_f	0.366
2gan_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C	_0_C_0_-_3_i_2_d_0_-_19_k_7_E_4_G_3_b_13_H_8_l_3_B_4_b_1_d_4_B_0_-_0_-_8_B	0.415
6xbv_A	_14_i_8_F_2_I_0_-_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C	_3_j_3_F_4_I_5_H_5_h_2_H_2_h_11_A_0_-_1_b_1_D_1_b_0_-_5_D	0.383
3m5w_A	_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_28_m_0_-_12_b_5_f_9_c_0_-_0_-_3_d_5_d_4_B_2_o_0_-_0_-_7_B_12_b_9_h_18_h_0_-_2_k_4_l_1_j_1_o	0.422
1ku2_A	_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_i_0_-_7_q_3_k_0_-_0_-_19_h_3_o_0_-_0_-_0_-_2_h_8_m_2_b_3_m_10_o_0_-_0_-_5_g_5_i	0.383
1vk2_A	_3_c_2_c_0_-_1_C_0_f_5_g_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j	_0_g_4_c_8_A_5_D_4_e_10_f_4_b_1_C_0_-_0_-_6_b_0_-_4_m_0_-_3_D_1_e_8_c_0_-_4_A_1_b_1_D_0_-_2_e_3_l	0.389
3v69_A	_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n	_11_c_3_D_1_g_1_b_2_g_2_D_7_E_2_q	0.469
2gcg_B	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_0_-_5_b_0_-_12_m	_5_g_4_D_0_-_0_-_0_-_0_-_8_f_0_-_5_C_7_f_5_C_9_e_3_B_0_-_6_l_2_h_20_D_0_-_3_k_3_D_5_f_2_A_2_f_0_-_2_C_13_e_5_C_3_b_0_-_2_h_5_C_12_c_3_B_8_n	0.363
1zhs_D	_14_i_0_-_8_F_2_I_9_c_7_l	_4_k_3_I_3_H_7_H_0_-_4_k	0.396
1dcp_A	_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_k_2_A_6_E_0_-_0_-_3_m_4_D_2_E_0_-_0_-_9_l	0.413
5e5n_C	_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n_0_-_0_-_2_j_0_-_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_0_-_21_B_0_-_4_D_0_-_0_-_0_b_11_e_0_-_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_5_h_0_-_5_B_10_B_6_A_8_c_4_l_0_-_4_c_0_-_4_E_4_d_4_j_5_C_2_m_5_G_4_b_7_A_1_H_0_e_6_I_11_l_3_b_2_B_7_k_8_C_2_c_0_-_3_m_2_A_19_B_4_A_9_F_4_G_7_F_2_m_5_i_6_F_2_k_6_D_0_b_0_-_0_-_1_g_0_-_2_i_5_i_5_c	0.355
3ush_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_33_B_0_-_2_h_0_-_20_B_1_e_10_b_2_d_3_e	0.366
2m71_A	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D	_4_l_3_F_3_c_0_-_2_k_3_B_4_A_3_G	0.534
3ke2_C	_8_k_2_e_2_h_14_i_8_F_2_I_9_c	_0_k_7_g_2_h_1_c_2_D_9_E_11_g	0.612
4oy7_A	_8_B_0_m_8_k_2_e_0_-_2_h_14_i_0_-_8_F_2_I_9_c	_0_B_3_h_11_i_2_c_5_A_15_e_6_c_8_B_4_F_6_G_11_b	0.432
1jas_A	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_-_0_b_11_e_1_j_5_b_12_m	_0_l_5_D_0_-_0_-_0_-_6_F_10_F_10_C_13_A_2_b_0_-_9_k_9_g_2_m	0.414
1fp3_A	_0_k_0_-_10_j_0_-_8_B_0_m_8_k_2_e_0_-_2_h_0_-_14_i_8_F_2_I_0_-_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o	_0_m_1_b_2_k_16_A_5_B_5_m_2_n_2_c_10_B_1_k_3_e_1_j_2_A_4_A_2_B_7_d_0_A_1_m_0_-_3_f_6_e_11_A_0_-_0_-_13_A_0_m_2_m_11_A_5_B_11_o	0.401
3fxt_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_5_C_0_c_0_-_7_m_0_-_4_F_0_-_0_-_0_j	0.353
1g0c_A	_2_c_1_C_0_-_0_-_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_0_-_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_0_-_5_b_12_m_15_q_12_j	_0_c_3_D_2_D_9_D_2_f_2_g_6_E_10_l_3_E_10_b_2_j_5_b_0_C_18_o_0_-_4_B_2_c_2_e_0_-_0_-_7_G_16_b_3_i_3_G_11_k_4_E_32_b_0_-_0_-_2_j	0.458
5gta_A	_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_0_-_10_C_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b	_0_D_0_-_0_-_6_l_3_C_7_k_0_-_0_-_4_C_0_-_8_g_4_D_10_C_3_l_4_F_5_m_3_G_4_k_5_C_0_-_4_j_6_D_0_-_2_h_6_C_1_l_9_C_3_E_1_b	0.422
2pqr_B	_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_0_c_0_-_5_k_2_b_2_k_3_m_1_m_2_k_0_-_0_-_0_-_4_m	0.377
1qap_A	_5_o_3_c_2_c_0_-_1_C_0_-_0_f_5_g_10_C_2_k_0_-_2_n_0_-_2_j_0_-_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_b_11_e	_0_p_6_b_2_c_5_A_2_C_3_A_3_j_0_-_4_C_6_A_4_G_0_s_7_B_9_j_12_B_1_f_0_-_2_j_5_D_2_h_4_C_4_h_0_-_7_B_5_h_4_B_0_-_2_c	0.383
3krs_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_0_D_6_j_0_-_8_D_0_-_0_-_2_j_0_-_0_-_0_-_7_B_18_e_4_C_2_e_4_k_0_-_3_E_0_-_3_d_3_j_9_D_2_b_8_m_0_-_2_e_2_B_8_e_5_C_1_c_3_f	0.372
1j5x_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j	_0_j_0_-_1_f_1_b_6_E_0_-_0_-_2_m_2_E_0_-_0_d_10_E_6_j_2_F_5_d_2_C_0_-_0_-_20_e_4_o_3_b_2_D_2_k_4_D_1_d_2_c_0_-_4_B_7_j_3_A_0_-_14_e_2_k	0.375
1h67_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_0_j_0_-_7_f_2_h_14_m_0_-_0_-_3_b_3_e_0_-_0_-_4_m	0.436
1v2x_A	_10_j_8_B_0_m_8_k_0_-_2_e_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j	_0_f_6_E_0_-_4_k_3_D_1_c_10_b_2_D_2_i_3_D_6_A_0_-_0_-_0_-_0_b_0_-_6_D_8_e_0_-_2_C_0_-_11_n_1_b_5_j	0.366
2cqb_A	_1_C_0_f_5_g_0_-_10_C_2_k	_0_C_0_-_7_g_8_A_12_C_4_j	0.650
2j6i_B	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_0_-_0_-_0_-_5_b_12_m_15_q_12_j_2_B	_0_D_0_-_5_d_0_-_0_-_10_b_1_e_3_D_8_g_2_C_9_e_5_C_9_f_4_C_5_l_2_h_5_d_0_-_9_D_3_k_3_D_6_e_2_B_3_e_0_-_3_C_13_c_6_D_3_b_0_-_2_i_2_E_12_c_8_B_4_b_1_n_0_-_6_b_0_C	0.416
4nz9_B	_0_k_0_-_10_j_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F_0_-_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f	_7_j_3_E_2_i_9_C_5_l_4_C_6_c_3_b_2_g_5_i_6_F_1_b_8_p_1_G_7_b_3_j_8_j_1_b_0_-_6_C_3_b	0.481
3k53_A	_2_h_14_i_8_F_2_I_0_-_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_2_n_0_-_2_j_5_o_2_o	_5_h_0_-_3_D_6_H_2_F_11_j_5_F_0_l_0_-_0_-_0_-_5_E_1_f_5_g_3_B_2_b_3_k_13_l_9_h_3_i_2_l_5_m	0.479
2onk_C	_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_5_h_1_t_6_k_0_-_2_j_0_-_17_q_2_h_0_-_4_c_0_-_5_o_0_-_0_-_2_c_0_-_8_j_1_b_1_n	0.374
1nso_A	_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_-_0_-_0_b	_2_D_12_b_0_-_0_-_10_C_4_C_7_D_3_D_2_A_10_c	0.362
5iy6_0	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i	_0_G_2_c_0_-_7_n_3_H_2_H_0_-_0_-_2_j_0_-_9_k_6_G_10_j_1_G_4_i_2_D_2_j	0.378
4ppm_A	_0_k_10_j_0_-_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_0_-_21_B_4_D_0_b_11_e	_4_j_2_h_6_E_1_C_0_-_4_C_3_b_8_j_13_k_4_F_0_-_0_-_2_l_3_D_8_c_5_c_9_C_0_-_4_h_3_E_0_-_0_-_15_j_3_D_0_-_0_-_13_c_6_C_1_c_6_E_0_g_16_l_2_n_5_F_2_E_0_-_4_c	0.356
2qy9_A	_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_0_-_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e	_0_e_10_e_6_k_0_-_0_-_0_-_4_m_5_m_0_-_0_-_13_E_6_k_0_-_5_C_6_k_4_A_7_k_4_C_5_m_9_F_0_b_1_k_4_D_0_-_9_h_0_-_0_-_3_D_4_b_0_B_2_h	0.368
3mp7_A	_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_0_l_33_h_4_m_9_q_4_m_0_-_0_-_18_j_15_n_2_A_2_A_7_o_21_b_8_c_1_q_4_b_18_n_6_p_1_e	0.485
7blz_F	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_1_j_5_b	_0_A_0_b_1_n_8_m_3_A_5_A_6_b_5_p_5_e_3_h_4_d	0.504
